url:https://www.restoclub.ru/spb/place/vsjo-prosto	title:Всё просто!	tag:type:Бар	tag:subway:Лиговский Проспект	tag:check:400	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:NaN
url:https://www.restoclub.ru/spb/place/garden-lounge-1	title:Garden Lounge	tag:type:Бар	tag:subway:Удельная	tag:check:1300	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
url:https://www.restoclub.ru/spb/place/dajte-dve	title:Дайте две	tag:type:Бар	tag:subway:Технологический Институт	tag:check:500	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
url:https://www.restoclub.ru/spb/place/osobnjak-3	title:Особняк	tag:type:Бар	tag:subway:Невский Проспект	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
url:https://www.restoclub.ru/spb/place/parabellum	title:Parabellum	tag:type:Бар	tag:subway:Сенная Площадь, Гостиный Двор	tag:check:850	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:9
url:https://www.restoclub.ru/spb/place/pena-dnej	title:Пена дней	tag:type:Бар	tag:subway:Лиговский Проспект	tag:check:400	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
url:https://www.restoclub.ru/spb/place/pivnaja-dieta	title:Пивная диета	tag:type:Бар	tag:subway:Площадь Восстания	tag:check:300	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:NaN
url:https://www.restoclub.ru/spb/place/privilegija-1	title:Привилегия	tag:type:Ресторан	tag:subway:Крестовский Остров, Чкаловская	tag:check:2000	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
url:https://www.restoclub.ru/spb/place/prilichnoe-mesto-1	title:Приличное место	tag:type:Бар	tag:subway:Гостиный Двор, Невский Проспект	tag:check:400	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:NaN
url:https://www.restoclub.ru/spb/place/rox	title:Rox	tag:type:Бар	tag:subway:Звездная	tag:check:1400	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
url:https://www.restoclub.ru/spb/place/roxette-bar	title:Roxette Bar	tag:type:Бар	tag:subway:Удельная, Озерки	tag:check:1500	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:2
url:https://www.restoclub.ru/spb/place/roomie-bar	title:Roomie Bar	tag:type:Бар	tag:subway:Невский Проспект, Гостиный Двор, Адмиралтейская	tag:check:800	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
url:https://www.restoclub.ru/spb/place/aviator-3	title:Aviator	tag:type:Ресторан	tag:subway:undefined	tag:check:1100	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:NaN
url:https://www.restoclub.ru/spb/place/avrora-2	title:Avrora	tag:type:Бар	tag:subway:Достоевская, Владимирская	tag:check:400	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:2
url:https://www.restoclub.ru/spb/place/arts-square-bar	title:Arts Square Bar	tag:type:Бар	tag:subway:Невский Проспект	tag:check:450	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
url:https://www.restoclub.ru/spb/place/atlanty	title:Атланты	tag:type:Бар	tag:subway:Адмиралтейская	tag:check:1750	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:NaN
url:https://www.restoclub.ru/spb/place/bazin	title:Bazin	tag:type:Бар	tag:subway:Чернышевская	tag:check:700	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:NaN
url:https://www.restoclub.ru/spb/place/balabol	title:Balabol	tag:type:Бар	tag:subway:Чкаловская	tag:check:600	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:NaN
url:https://www.restoclub.ru/spb/place/banka-soundbar	title:Banka Soundbar	tag:type:Бар	tag:subway:Гостиный Двор	tag:check:500	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:3
url:https://www.restoclub.ru/spb/place/bar-8	title:Бар 8	tag:type:Бар	tag:subway:Горьковская, Петроградская	tag:check:400	tag:score:Кухня:7.9	tag:score:Интерьер:9.5	tag:score:Сервис:7.9	tag:votes:4
url:https://www.restoclub.ru/spb/place/barbus	title:BarBus	tag:type:Бар	tag:subway:undefined	tag:check:1300	tag:score:Кухня:0.0	tag:score:Интерьер:0.0	tag:score:Сервис:0.0	tag:votes:1
